N    41 41
-5.00000000e-01  -5.00000000e-01   2.18750000e+02
-5.00000000e-01  -4.75000000e-01   2.09609375e+02
-5.00000000e-01  -4.50000000e-01   2.00937500e+02
-5.00000000e-01  -4.25000000e-01   1.92734375e+02
-5.00000000e-01  -4.00000000e-01   1.85000000e+02
-5.00000000e-01  -3.75000000e-01   1.77734375e+02
-5.00000000e-01  -3.50000000e-01   1.70937500e+02
-5.00000000e-01  -3.25000000e-01   1.64609375e+02
-5.00000000e-01  -3.00000000e-01   1.58750000e+02
-5.00000000e-01  -2.75000000e-01   1.53359375e+02
-5.00000000e-01  -2.50000000e-01   1.48437500e+02
-5.00000000e-01  -2.25000000e-01   1.43984375e+02
-5.00000000e-01  -2.00000000e-01   1.40000000e+02
-5.00000000e-01  -1.75000000e-01   1.36484375e+02
-5.00000000e-01  -1.50000000e-01   1.33437500e+02
-5.00000000e-01  -1.25000000e-01   1.30859375e+02
-5.00000000e-01  -1.00000000e-01   1.28750000e+02
-5.00000000e-01  -7.50000000e-02   1.27109375e+02
-5.00000000e-01  -5.00000000e-02   1.25937500e+02
-5.00000000e-01  -2.50000000e-02   1.25234375e+02
-5.00000000e-01  0.00000000e+00   1.25000000e+02
-5.00000000e-01  2.50000000e-02   1.25234375e+02
-5.00000000e-01  5.00000000e-02   1.25937500e+02
-5.00000000e-01  7.50000000e-02   1.27109375e+02
-5.00000000e-01  1.00000000e-01   1.28750000e+02
-5.00000000e-01  1.25000000e-01   1.30859375e+02
-5.00000000e-01  1.50000000e-01   1.33437500e+02
-5.00000000e-01  1.75000000e-01   1.36484375e+02
-5.00000000e-01  2.00000000e-01   1.40000000e+02
-5.00000000e-01  2.25000000e-01   1.43984375e+02
-5.00000000e-01  2.50000000e-01   1.48437500e+02
-5.00000000e-01  2.75000000e-01   1.53359375e+02
-5.00000000e-01  3.00000000e-01   1.58750000e+02
-5.00000000e-01  3.25000000e-01   1.64609375e+02
-5.00000000e-01  3.50000000e-01   1.70937500e+02
-5.00000000e-01  3.75000000e-01   1.77734375e+02
-5.00000000e-01  4.00000000e-01   1.85000000e+02
-5.00000000e-01  4.25000000e-01   1.92734375e+02
-5.00000000e-01  4.50000000e-01   2.00937500e+02
-5.00000000e-01  4.75000000e-01   2.09609375e+02
-5.00000000e-01  5.00000000e-01   2.18750000e+02
-4.75000000e-01  -5.00000000e-01   2.06562500e+02
-4.75000000e-01  -4.75000000e-01   1.97421875e+02
-4.75000000e-01  -4.50000000e-01   1.88750000e+02
-4.75000000e-01  -4.25000000e-01   1.80546875e+02
-4.75000000e-01  -4.00000000e-01   1.72812500e+02
-4.75000000e-01  -3.75000000e-01   1.65546875e+02
-4.75000000e-01  -3.50000000e-01   1.58750000e+02
-4.75000000e-01  -3.25000000e-01   1.52421875e+02
-4.75000000e-01  -3.00000000e-01   1.46562500e+02
-4.75000000e-01  -2.75000000e-01   1.41171875e+02
-4.75000000e-01  -2.50000000e-01   1.36250000e+02
-4.75000000e-01  -2.25000000e-01   1.31796875e+02
-4.75000000e-01  -2.00000000e-01   1.27812500e+02
-4.75000000e-01  -1.75000000e-01   1.24296875e+02
-4.75000000e-01  -1.50000000e-01   1.21250000e+02
-4.75000000e-01  -1.25000000e-01   1.18671875e+02
-4.75000000e-01  -1.00000000e-01   1.16562500e+02
-4.75000000e-01  -7.50000000e-02   1.14921875e+02
-4.75000000e-01  -5.00000000e-02   1.13750000e+02
-4.75000000e-01  -2.50000000e-02   1.13046875e+02
-4.75000000e-01  0.00000000e+00   1.12812500e+02
-4.75000000e-01  2.50000000e-02   1.13046875e+02
-4.75000000e-01  5.00000000e-02   1.13750000e+02
-4.75000000e-01  7.50000000e-02   1.14921875e+02
-4.75000000e-01  1.00000000e-01   1.16562500e+02
-4.75000000e-01  1.25000000e-01   1.18671875e+02
-4.75000000e-01  1.50000000e-01   1.21250000e+02
-4.75000000e-01  1.75000000e-01   1.24296875e+02
-4.75000000e-01  2.00000000e-01   1.27812500e+02
-4.75000000e-01  2.25000000e-01   1.31796875e+02
-4.75000000e-01  2.50000000e-01   1.36250000e+02
-4.75000000e-01  2.75000000e-01   1.41171875e+02
-4.75000000e-01  3.00000000e-01   1.46562500e+02
-4.75000000e-01  3.25000000e-01   1.52421875e+02
-4.75000000e-01  3.50000000e-01   1.58750000e+02
-4.75000000e-01  3.75000000e-01   1.65546875e+02
-4.75000000e-01  4.00000000e-01   1.72812500e+02
-4.75000000e-01  4.25000000e-01   1.80546875e+02
-4.75000000e-01  4.50000000e-01   1.88750000e+02
-4.75000000e-01  4.75000000e-01   1.97421875e+02
-4.75000000e-01  5.00000000e-01   2.06562500e+02
-4.50000000e-01  -5.00000000e-01   1.95000000e+02
-4.50000000e-01  -4.75000000e-01   1.85859375e+02
-4.50000000e-01  -4.50000000e-01   1.77187500e+02
-4.50000000e-01  -4.25000000e-01   1.68984375e+02
-4.50000000e-01  -4.00000000e-01   1.61250000e+02
-4.50000000e-01  -3.75000000e-01   1.53984375e+02
-4.50000000e-01  -3.50000000e-01   1.47187500e+02
-4.50000000e-01  -3.25000000e-01   1.40859375e+02
-4.50000000e-01  -3.00000000e-01   1.35000000e+02
-4.50000000e-01  -2.75000000e-01   1.29609375e+02
-4.50000000e-01  -2.50000000e-01   1.24687500e+02
-4.50000000e-01  -2.25000000e-01   1.20234375e+02
-4.50000000e-01  -2.00000000e-01   1.16250000e+02
-4.50000000e-01  -1.75000000e-01   1.12734375e+02
-4.50000000e-01  -1.50000000e-01   1.09687500e+02
-4.50000000e-01  -1.25000000e-01   1.07109375e+02
-4.50000000e-01  -1.00000000e-01   1.05000000e+02
-4.50000000e-01  -7.50000000e-02   1.03359375e+02
